region,2023,unit
"Zagreb, Grad",837931.00,人
Splitsko-Dalmatinska Županija,305138.00,人
Primorsko-Goranska Županija,165622.00,人
Osječko-Baranjska Županija,162514.00,人
Zadarska Županija,80459.00,人
Zagrebačka Županija,224404.00,人
Istarska Županija,113197.00,人
Karlovačka Županija,71835.00,人
Varaždinska Županija,68300.00,人
Šibensko-Kninska Županija,62881.00,人
Dubrovačko-Neretvanska Županija,56797.00,人
Sisačko-Moslavačka Županija,101064.00,人
Bjelovarsko-Bilogorska Županija,55045.00,人
Vukovarsko-Srijemska Županija,63170.00,人
Koprivničko-Križevačka Županija,47529.00,人
Međimurska Županija,38139.00,人
Požeško-Slavonska Županija,31432.00,人
Virovitičko-Podravska Županija,30805.00,人
Brodsko-Posavska Županija,28371.00,人
Krapinsko-Zagorska Županija,20186.00,人
Ličko-Senjska Županija,11502.00,人
