region,2023,unit
"London, City of",11262000.00,人
Birmingham,2890566.00,人
Portsmouth,883061.00,人
Southampton,855569.00,人
"Bristol, City of",718923.00,人
Glasgow City,688147.00,人
Manchester,702003.00,人
Leeds,903629.00,人
Sheffield,673114.00,人
Liverpool,612788.00,人
"Edinburgh, City of",560839.00,人
West Sussex,956397.00,人
Leicester,501247.00,人
Coventry,385168.00,人
Cardiff,361469.00,人
Belfast,345006.00,人
Reading,370178.00,人
"Kingston upon Hull, City of",343614.00,人
Newcastle upon Tyne,344640.00,人
Stockport,427579.00,人
Bradford,480788.00,人
Nottingham,358215.00,人
Bolton,385345.00,人
Sunderland,436036.00,人
Plymouth,348640.00,人
Milton Keynes,409566.00,人
Derby,336764.00,人
Westminster,255324.00,人
Wolverhampton,299192.00,人
Swansea,297376.00,人
Barnsley,362253.00,人
Stoke-on-Trent,312848.00,人
Swindon,243198.00,人
Norfolk,475925.00,人
Luton,225962.00,人
Solihull,274932.00,人
Islington,232789.00,人
Aberdeen City,209252.00,人
Peterborough,194000.00,人
Croydon,336427.00,人
"Bournemouth, Christchurch and Poole",414811.00,人
Essex,1157087.00,人
St. Helens,263702.00,人
Redbridge,204648.00,人
Warrington,230019.00,人
Kirklees,466345.00,人
Southend-on-Sea,203269.00,人
Newport,169758.00,人
Enfield,299153.00,人
Suffolk,410118.00,人
Harrow,245983.00,人
Dundee City,166939.00,人
Sandwell,290624.00,人
Gloucestershire,410568.00,人
Telford and Wrekin,216193.00,人
Lancashire,832304.00,人
York,173530.00,人
Redcar and Cleveland,196492.00,人
Blackpool,159306.00,人
Northamptonshire,460168.00,人
Brighton and Hove,240470.00,人
Trafford,326053.00,人
Lincolnshire,428262.00,人
Haringey,170349.00,人
Devon,452201.00,人
Cambridgeshire,340019.00,人
Havering,211798.00,人
Buckinghamshire,339824.00,人
Gateshead,170297.00,人
Slough,119070.00,人
Blackburn with Darwen,146087.00,人
Rochdale,214564.00,人
Wirral,365243.00,人
Doncaster,230658.00,人
Rotherham,201281.00,人
Kent,1034834.00,人
Waltham Forest,194191.00,人
Oxfordshire,362914.00,人
Hampshire,926292.00,人
Barking and Dagenham,165315.00,人
Medway,318019.00,人
Calderdale,226641.00,人
Salford,270212.00,人
Wigan,358408.00,人
Hounslow,183276.00,人
Brent,164275.00,人
Worcestershire,338394.00,人
East Sussex,314215.00,人
Wakefield,299165.00,人
Oldham,167684.00,人
Hammersmith and Fulham,183157.00,人
Hertfordshire,1049923.00,人
Bath and North East Somerset,122930.00,人
Hillingdon,291264.00,人
Darlington,93015.00,人
Merton,214129.00,人
Bedford,113143.00,人
Sefton,284269.00,人
Bromley,314481.00,人
North East Lincolnshire,147416.00,人
Hartlepool,87995.00,人
Cheshire West and Chester,229769.00,人
Warwickshire,344286.00,人
Derry and Strabane,98523.00,人
Ealing,361895.00,人
Greenwich,164959.00,人
Stockton-on-Tees,170846.00,人
North Lincolnshire,101727.00,人
Dudley,359352.00,人
Bury,191117.00,人
Lambeth,146266.00,人
Renfrewshire,115164.00,人
Surrey,865166.00,人
Newham,143124.00,人
North Somerset,149998.00,人
Cumbria,256019.00,人
South Tyneside,132626.00,人
South Lanarkshire,211418.00,人
Staffordshire,666910.00,人
North Yorkshire,212454.00,人
Shropshire,129088.00,人
Lisburn and Castlereagh,71465.00,人
Nottinghamshire,486738.00,人
Rhondda Cynon Taff,188573.00,人
North Tyneside,244699.00,人
Walsall,304072.00,人
Thurrock,125728.00,人
Barnet,290650.00,人
Leicestershire,395916.00,人
Kensington and Chelsea,64681.00,人
Windsor and Maidenhead,128391.00,人
Richmond upon Thames,129094.00,人
Halton,137516.00,人
Wrexham,70983.00,人
