region,2023,unit
Ţarābulus,1279684.00,人
Banghāzī,701990.00,人
Al Wāḩāt,424939.00,人
Mişrātah,309880.00,人
Al Jabal al Akhḑar,303861.00,人
Al Marqab,281943.00,人
Az Zāwiyah,200000.00,人
Al Jabal al Gharbī,310106.00,人
Al Marj,169540.00,人
Al Buţnān,147941.00,人
Sabhā,116016.00,人
An Nuqāţ al Khams,302048.00,人
Darnah,126729.00,人
Al Jafārah,111472.00,人
Surt,85974.00,人
Nālūt,96233.00,人
Wādī ash Shāţi’,45721.00,人
Murzuq,45728.00,人
Wādī al Ḩayāt,35000.00,人
Al Jufrah,56365.00,人
Ghāt,22000.00,人
Al Kufrah,18587.00,人
