region,2023,2022,2021,2020,unit
Beijing,2186,2184,2189,2189,万人
Tianjin,1364,1363,1373,1387,万人
Hebei,7393,7420,7448,7464,万人
Shanxi,3466,3481,3480,3490,万人
Inner Mongol,2396,2401,2400,2403,万人
Liaoning,4182,4197,4229,4255,万人
Jilin,2339,2348,2375,2399,万人
Heilongjiang,3062,3099,3125,3171,万人
Shanghai,2487,2475,2489,2488,万人
Jiangsu,8526,8515,8505,8477,万人
Zhejiang,6627,6577,6540,6468,万人
Anhui,6121,6127,6113,6105,万人
Fujian,4183,4188,4187,4161,万人
Jiangxi,4515,4528,4517,4519,万人
Shandong,10123,10163,10170,10165,万人
Henan,9815,9872,9883,9941,万人
Hubei,5838,5844,5830,5745,万人
Hunan,6568,6604,6622,6645,万人
Guangdong,12706,12657,12684,12624,万人
Guangxi,5027,5047,5037,5019,万人
Hainan,1043,1027,1020,1012,万人
Chongqing,3191,3213,3212,3209,万人
Sichuan,8368,8374,8372,8371,万人
Guizhou,3865,3856,3852,3858,万人
Yunnan,4673,4693,4690,4722,万人
Xizang,365,364,366,366,万人
Shaanxi,3952,3956,3954,3955,万人
Gansu,2465,2492,2490,2501,万人
Qinghai,594,595,594,593,万人
Ningxia,729,728,725,721,万人
Xinjiang,2598,2587,2589,2590,万人
数据来源：国家统计局
