GeoFips,region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,unit
1000,Alabama,11083880000000.0,11651430000000.0,12052260000000.0,12353450000000.0,12838090000000.0,13521260000000.0,14837910000000.0,15867729999999.998,16604820000000.002,17224700000000.0,17466560000000.0,17087650000000.0,17751070000000.0,18289670000000.0,18828070000000.0,19398150000000.0,19706440000000.0,20311330000000.0,20882430000000.0,21661550000000.0,22626380000000.0,23479820000000.0,23532530000000.0,26001840000000.0,28494909999999.996,30493559999999.996,32123759999999.996,美元
2000,Alaska,2438780000000.0,2492040000000.0,2693400000000.0,2866090000000.0,2988450000000.0,3211580000000.0,3538950000000.0,4045990000000.0,4495170000000.0,4945640000000.0,5524670000000.0,5016590000000.0,5365400000000.0,5691230000000.0,5832070000000.0,5753300000000.0,5658740000000.0,5157420000000.0,5112180000000.0,5355090000000.0,5476200000000.0,5454960000000.0,5128340000000.0,5894350000000.0,6627189999999.999,6805600000000.0,6996900000000.0,美元
4000,Arizona,14439320000000.002,15644210000000.0,16573560000000.0,17289960000000.0,18084450000000.0,19431800000000.0,20724630000000.0,22799780000000.0,24606110000000.0,26115280000000.0,26100580000000.0,24486220000000.0,25052700000000.0,26169140000000.0,27270330000000.0,27867950000000.0,28667600000000.0,29894220000000.0,31378709999999.996,33309900000000.0,35367100000000.0,37537670000000.0,38895670000000.0,43677860000000.0,48405220000000.0,52276720000000.0,55216700000000.0,美元
5000,Arkansas,6285200000000.0,6727900000000.0,6917630000000.0,7109960000000.001,7445310000000.001,7900970000000.0,8592860000000.001,9113340000000.0,9607370000000.0,9832500000000.0,10020670000000.0,9778390000000.0,10169930000000.0,10569760000000.0,10883600000000.0,11402110000000.0,11738870000000.0,11857360000000.0,12098740000000.0,12388260000000.0,12921380000000.0,13262579999999.998,13619840000000.0,15405250000000.0,16860579999999.998,17860640000000.0,18872310000000.0,美元
6000,California,114367250000000.0,123977350000000.0,135479130000000.0,137327080000000.0,141932180000000.0,149857800000000.0,158508140000000.0,169885840000000.0,181216160000000.0,190022040000000.0,194624150000000.0,187980950000000.0,193860330000000.0,201405030000000.0,210887310000000.0,222330090000000.0,234221879999999.97,248715640000000.0,258648520000000.03,274055029999999.97,289953090000000.0,306862970000000.0,307675510000000.0,342395830000000.0,366041570000000.0,387037890000000.0,410312360000000.0,美元
8000,Colorado,14965370000000.002,16241170000000.002,17930330000000.0,18584890000000.0,18960460000000.0,19513760000000.0,20374330000000.0,22080380000000.0,23285360000000.0,24857160000000.0,25760610000000.0,24981710000000.0,25677180000000.0,26611409999999.996,27473880000000.0,29126530000000.0,30922390000000.004,32089590000000.004,33056590000000.004,35020909999999.996,37392310000000.0,39784360000000.0,39674190000000.0,44583570000000.0,49467280000000.0,52962650000000.0,55332250000000.0,美元
9000,Connecticut,14529920000000.002,15209370000000.002,16552340000000.0,17112440000000.0,17292970000000.002,17781480000000.0,19472290000000.0,20450460000000.0,21981220000000.0,23262680000000.0,23611070000000.0,23162800000000.0,23402220000000.0,23305870000000.0,23990750000000.0,24054920000000.0,24711470000000.0,26064850000000.0,26476040000000.004,27387509999999.996,28053540000000.004,28645190000000.004,27802940000000.004,29680130000000.0,32168640000000.004,34591190000000.004,36572310000000.0,美元
10000,Delaware,3717060000000.0,4044650000000.0,4355960000000.0,4637380000000.0,4586540000000.0,4783960000000.0,5167410000000.0,5204860000000.0,5556770000000.0,5670560000000.0,5525080000000.0,5772990000000.0,5813220000000.0,6137940000000.0,6234210000000.0,6205820000000.0,6860600000000.0,7235250000000.0,7002150000000.0,6955560000000.001,7337600000000.0,7871050000000.0,7752030000000.0,8306980000000.0,9255820000000.0,9806870000000.0,10325330000000.0,美元
11000,District of Columbia,5487740000000.0,5894880000000.0,6126770000000.0,6562000000000.0,7007800000000.0,7404700000000.0,8060070000000.0,8541450000000.0,8835090000000.0,9401380000000.0,9924040000000.0,10043010000000.0,10612860000000.0,10995390000000.0,11251270000000.0,11483270000000.0,11999800000000.0,12475360000000.0,12993350000000.0,13429879999999.998,14124020000000.002,14507140000000.0,14666010000000.0,15653750000000.0,16576840000000.0,17650170000000.0,18616500000000.0,美元
12000,Florida,42859560000000.0,45760700000000.0,49009440000000.0,51914070000000.0,55335990000000.0,59028480000000.01,64704180000000.01,70489030000000.0,74992500000000.0,78194730000000.0,76735780000000.0,73932240000000.0,75299840000000.0,76104310000000.0,78454590000000.0,81967980000000.0,86011260000000.0,91846430000000.0,96450080000000.0,101486690000000.0,107208560000000.02,113371800000000.0,114200439999999.98,129863120000000.0,146528110000000.0,160081060000000.0,170556490000000.0,美元
13000,Georgia,26514640000000.004,28904890000000.004,30532370000000.0,31687270000000.0,32601790000000.004,33954050000000.0,36453010000000.0,38870720000000.0,40566420000000.0,41938480000000.0,41630350000000.0,40987620000000.0,41901310000000.0,43313710000000.0,44937560000000.0,46755950000000.0,49337030000000.0,52551680000000.01,55490319999999.99,58354330000000.01,61280340000000.0,64669580000000.01,64022360000000.0,70554670000000.0,77968400000000.0,83182770000000.0,88253450000000.0,美元
15000,Hawaii,3750300000000.0,3897040000000.0,4108940000000.0,4250019999999.9995,4494950000000.0,4842070000000.0,5262570000000.0,5721180000000.0,6084800000000.0,6410600000000.0,6554550000000.0,6446430000000.0,6673930000000.0,6880110000000.001,7164560000000.001,7459850000000.0,7704300000000.0,8141020000000.0,8428720000000.0,8743639999999.999,9093350000000.0,9324020000000.0,8488580000000.0,9340040000000.0,10315310000000.0,11026540000000.0,11562720000000.0,美元
16000,Idaho,3135270000000.0,3451280000000.0005,3834410000000.0,3774090000000.0,3899069999999.9995,4077860000000.0,4473290000000.0,4880510000000.0,5109900000000.0,5371240000000.0,5620360000000.0,5450790000000.0,5608620000000.0,5741820000000.0,5793370000000.0,6171260000000.0,6450170000000.0,6606489999999.999,6918520000000.0,7293510000000.001,7907239999999.999,8442939999999.999,8809930000000.0,9983910000000.0,11229010000000.0,12095830000000.0,12813210000000.0,美元
