region,country,2023,unit
Tōkyō,Japan,51036333.00,人
Jakarta,Indonesia,33795126.00,人
Delhi,India,35843280.00,人
Guangdong,China,156297963.00,人
Mahārāshtra,India,63048371.00,人
Manila,Philippines,26758140.00,人
Shanghai,China,32431048.00,人
São Paulo,Brazil,53443850.00,人
Seoul,"Korea, South",23016000.00,人
Ciudad de México,Mexico,21812997.00,人
West Bengal,India,40166415.00,人
Al Qāhirah,Egypt,20948749.00,人
Sindh,Pakistan,28710912.00,人
Dhaka,Bangladesh,25189273.00,人
New York,United States,41660709.00,人
Beijing,China,20498791.00,人
Krung Thep Maha Nakhon,Thailand,18110727.00,人
Moskva,Russia,17469965.00,人
"Buenos Aires, Ciudad Autónoma de",Argentina,16788699.00,人
Lagos,Nigeria,20113471.00,人
Karnātaka,India,34573992.00,人
Hồ Chí Minh,Vietnam,16768779.00,人
Ōsaka,Japan,21612978.00,人
Sichuan,China,80954252.00,人
İstanbul,Turkey,23154770.00,人
Tehrān,Iran,17211033.00,人
Kinshasa,Congo (Kinshasa),14846225.00,人
Rio de Janeiro,Brazil,18959223.00,人
Tamil Nādu,India,50271713.00,人
Shaanxi,China,45477594.00,人
Punjab,Pakistan,41302392.00,人
Chongqing,China,13880240.00,人
California,United States,55302794.00,人
"London, City of",United Kingdom,11262000.00,人
Île-de-France,France,19433734.00,人
Shandong,China,98712040.00,人
Hebei,China,69077338.00,人
Telangāna,India,10494000.00,人
Tianjin,China,11137591.00,人
Lima,Peru,11136781.00,人
Hubei,China,52470489.00,人
Henan,China,96044337.00,人
Zhejiang,China,50310632.00,人
Aichi,Japan,14374043.00,人
Luanda,Angola,12222889.00,人
Kuala Lumpur,Malaysia,8911000.00,人
Jiangsu,China,85706778.00,人
Hà Nội,Vietnam,8833217.00,人
Illinois,United States,16128039.00,人
Bogotá,Colombia,8666259.00,人
Gujarāt,India,31297412.00,人
Liaoning,China,49897049.00,人
Dar es Salaam,Tanzania,9048912.00,人
Khartoum,Sudan,11610745.00,人
Gauteng,South Africa,15546768.00,人
Anhui,China,60334589.00,人
Hong Kong,China,12253254.00,人
Jiangxi,China,45512758.00,人
Ar Riyāḑ,Saudi Arabia,7875545.00,人
Región Metropolitana,Chile,11988214.00,人
Yangon,Burma,7262125.00,人
Guizhou,China,28561433.00,人
Hunan,China,74966608.00,人
Jawa Timur,Indonesia,11995101.00,人
Fujian,China,43660739.00,人
Madrid,Spain,9142376.00,人
Baghdād,Iraq,6943500.00,人
Florida,United States,28819727.00,人
Texas,United States,32217896.00,人
,Singapore,5983000.00,人
Uttar Pradesh,India,40689536.00,人
Ankara,Turkey,11454897.00,人
Guangxi,China,50445065.00,人
Littoral,Cameroon,6154842.00,人
Yunnan,China,35531866.00,人
Ādīs Ābeba,Ethiopia,5704000.00,人
Pennsylvania,United States,15986156.00,人
Ontario,Canada,17563558.00,人
Al Jīzah,Egypt,6676463.00,人
Sankt-Peterburg,Russia,5823564.00,人
Nairobi City,Kenya,5545000.00,人
Jalisco,Mexico,10810810.00,人
Minas Gerais,Brazil,20464959.00,人
Nuevo León,Mexico,9022030.00,人
Georgia,United States,9965417.00,人
District of Columbia,United States,5146120.00,人
Victoria,Australia,6609944.00,人
Abidjan,Côte d’Ivoire,9022419.00,人
Al Iskandarīyah,Egypt,5220622.00,人
New South Wales,Australia,6379411.00,人
Catalonia,Spain,9006124.00,人
Shanxi,China,31317331.00,人
Western Cape,South Africa,7098304.00,人
Makkah al Mukarramah,Saudi Arabia,8289006.00,人
Berlin,Germany,4679500.00,人
Bihār,India,38781161.00,人
Jilin,China,19147622.00,人
Massachusetts,United States,10724799.00,人
Xinjiang,China,14936059.00,人
Kābul,Afghanistan,4485836.00,人
Bamako,Mali,4227569.00,人
Kano,Nigeria,4224966.00,人
Ceará,Brazil,10104540.00,人
Heilongjiang,China,32490535.00,人
Arizona,United States,9187352.00,人
Inner Mongolia,China,15407459.00,人
Al ‘Āşimah,Jordan,4463457.00,人
Ashanti,Ghana,7713738.00,人
Federal Capital Territory,Nigeria,4456000.00,人
Kanagawa,Japan,9296267.00,人
Michigan,United States,9239087.00,人
Khorāsān-e Raẕavī,Iran,5434256.00,人
Quebec,Canada,9204224.00,人
Sumatera Utara,Indonesia,5678739.00,人
Washington,United States,9358852.00,人
Oyo,Nigeria,6150458.00,人
Busan,"Korea, South",3453198.00,人
Dubayy,United Arab Emirates,3331420.00,人
Kerala,India,31250820.00,人
Distrito Capital,Venezuela,3242000.00,人
Casablanca-Settat,Morocco,5724237.00,人
Santa Cruz,Bolivia,3883608.00,人
Bursa,Turkey,6267634.00,人
Toshkent,Uzbekistan,4133561.00,人
Guayas,Ecuador,4233814.00,人
Rājasthān,India,15210071.00,人
Gansu,China,24331147.00,人
Centre,Burkina Faso,3106946.00,人
Attikí,Greece,6297108.00,人
Guatemala,Guatemala,5388670.00,人
Al ‘Āşimah,Kuwait,2989000.00,人
İzmir,Turkey,6800211.00,人
Quezon,Philippines,5437407.00,人
"Kyiv, Misto",Ukraine,2969924.00,人
Incheon,"Korea, South",2936117.00,人
Minnesota,United States,6394290.00,人
Kasaï Oriental,Congo (Kinshasa),2976651.00,人
P’yŏngyang,"Korea, North",2863000.00,人
Taichung,Taiwan,2850285.00,人
Valle del Cauca,Colombia,5180372.00,人
Baden-Württemberg,Germany,10060152.00,人
Lazio,Italy,5011421.00,人
Kaohsiung,Taiwan,2737660.00,人
Queensland,Australia,4852191.00,人
Colorado,United States,6993667.00,人
Zulia,Venezuela,3227201.00,人
Bavaria,Germany,8915192.00,人
Birmingham,United Kingdom,2890566.00,人
Carabobo,Venezuela,3548200.00,人
Dimashq,Syria,2584771.00,人
Chattogram,Bangladesh,6085413.00,人
Brazzaville,Congo (Brazzaville),2557100.00,人
Amānat al ‘Āşimah,Yemen,2545000.00,人
Madhya Pradesh,India,24243427.00,人
Antioquia,Colombia,6602852.00,人
Hamburg,Germany,2532231.00,人
Taipei,Taiwan,2494813.00,人
México,Mexico,16213232.00,人
Centre,Cameroon,2897735.00,人
British Columbia,Canada,6302340.00,人
Beyrouth,Lebanon,2421354.00,人
Bahia,Brazil,12495476.00,人
Bucureşti,Romania,2485935.00,人
Jawa Barat,Indonesia,18522792.00,人
Daegu,"Korea, South",2376044.00,人
Alger,Algeria,2908520.00,人
Konya,Turkey,4200336.00,人
Hải Phòng,Vietnam,2310280.00,人
Bakı,Azerbaijan,3141927.00,人
Fukuoka,Japan,6067703.00,人
Nevada,United States,4673330.00,人
Hainan,China,7958039.00,人
Almaty,Kazakhstan,2727039.00,人
Wien,Austria,2223236.00,人
Eşfahān,Iran,4359424.00,人
Qinghai,China,3444593.00,人
Maryland,United States,6475576.00,人
Anambra,Nigeria,4816325.00,人
Western Australia,Australia,2557323.00,人
Gaziantep,Turkey,2486261.00,人
Phnom Penh,Cambodia,2148413.00,人
Missouri,United States,6550350.00,人
