region,2023,unit
Al Qāhirah,20948749.00,人
Al Jīzah,6676463.00,人
Al Iskandarīyah,5220622.00,人
Al Qalyūbīyah,2719929.00,人
Al Minūfīyah,2906156.00,人
Al Fayyūm,1364306.00,人
Asyūţ,1597434.00,人
Ad Daqahlīyah,2474839.00,人
Al Gharbīyah,1170058.00,人
Al Buḩayrah,1745069.00,人
Būr Sa‘īd,594850.00,人
As Suways,516959.00,人
Qinā,1552864.00,人
Banī Suwayf,843097.00,人
Sūhāj,1552072.00,人
Al Ismā‘īlīyah,429465.00,人
Ash Sharqīyah,1375459.00,人
Kafr ash Shaykh,821952.00,人
Aswān,511681.00,人
Al Minyā,1067338.00,人
Al Baḩr al Aḩmar,367679.00,人
Dumyāţ,338473.00,人
Al Uqşur,243811.00,人
Shamāl Sīnā’,350376.00,人
Maţrūḩ,220022.00,人
Janūb Sīnā’,85733.00,人
Al Wādī al Jadīd,59465.00,人
