region,2023,unit
Skopje,441786.00,人
Kumanovo,70842.00,人
Bitola,69287.00,人
Prilep,63308.00,人
Tetovo,63176.00,人
Štip,42000.00,人
Veles,40664.00,人
Ohrid,38818.00,人
Strumica,33825.00,人
Gostivar,32814.00,人
Kočani,28330.00,人
Struga,15009.00,人
Debar,14561.00,人
Radoviš,14460.00,人
Kriva Palanka,13481.00,人
Negotino,12488.00,人
Sveti Nikole,11728.00,人
Probištip,10826.00,人
Delčevo,9644.00,人
Vinica,8584.00,人
Aračinovo,7315.00,人
Kičevo,7280.00,人
Kavadarci,6228.00,人
Berovo,5850.00,人
Kratovo,5401.00,人
Gevgelija,4967.00,人
Vrapčište,4874.00,人
Kruševo,4104.00,人
Makedonski Brod,3643.00,人
Demir Kapija,3275.00,人
Tearce,3038.00,人
Bogdanci,2951.00,人
Rosoman,2553.00,人
Demir Hisar,2431.00,人
Vevčani,2359.00,人
Gradsko,2219.00,人
Valandovo,1992.00,人
Krivogaštani,1870.00,人
Pehčevo,1687.00,人
Plasnica,1584.00,人
Zrnovci,1534.00,人
Novaci,1283.00,人
Bosilovo,1273.00,人
Mogila,1262.00,人
Novo Selo,1246.00,人
Konče,915.00,人
Češinovo-Obleševo,887.00,人
Mavrovo i Rostuše,872.00,人
Jegunovce,846.00,人
Rankovce,744.00,人
Sopište,690.00,人
Vasilevo,630.00,人
Karbinci,574.00,人
Lozovo,521.00,人
Staro Nagoričane,493.00,人
Brvenica,449.00,人
Centar Župa,354.00,人
Dolneni,300.00,人
Debarca,297.00,人
Čučer-Sandevo,274.00,人
Zelenikovo,272.00,人
Petrovec,121.00,人
Dojran,105.00,人
Želino,105.00,人
Studeničani,59.00,人
Bogovinje,25.00,人
